service_id,date,exception_type
ETE20_36-Lun-Sam-1-SUB1920-1111100,20200730,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200730,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200730,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200730,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200730,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200730,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200730,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200730,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200730,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200730,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200730,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200730,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200730,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200730,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200730,1
