stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
MEMBALZA,949595,"ECOLE BALZAC",,47.556980,-0.672240,,,0,zone_ECOLE_BALZAC,,0
MEMBMA-E,3254,"MAIRIE DE LA MEMBROLLE",,47.560747,-0.672825,,,0,zone_MAIRIE_DE_LA_MEMBROLLE,,0
MEMBRO-E,26396,"BOURG DE LA MEMBROLLE",,47.558428,-0.669731,,,0,zone_BOURG_DE_LA_MEMBROLLE,,0
MEMBROLL,3150,"BOURG DE LA MEMBROLLE",,47.558564,-0.670087,,,0,zone_BOURG_DE_LA_MEMBROLLE,,0
MEMMAIR,4208,"MAIRIE DE LA MEMBROLLE",,47.560846,-0.673030,,,0,zone_MAIRIE_DE_LA_MEMBROLLE,,0
MENA-E,6305,"MENARD",,47.445765,-0.493713,,,0,zone_MENARD,,1
MENARD,20226,"MENARD",,47.445818,-0.493930,,,0,zone_MENARD,,0
MENDES-E,25308,"MENDES FRANCE",,47.472947,-0.545623,,,0,zone_MENDES_FRANCE,,1
MENDESFR,10353,"MENDES FRANCE",,47.472563,-0.546222,,,0,zone_MENDES_FRANCE,,1
MERCIE-E,11750,"MERCIER",,47.492696,-0.458265,,,0,zone_MERCIER,,0
MERCIER,7042,"MERCIER",,47.492657,-0.458593,,,0,zone_MERCIER,,0
MERMO-E,294,"COLLEGE MERMOZ",,47.451790,-0.566839,,,0,zone_COLLEGE_MERMOZ,,1
MICHEL-E,5053,"MICHELET",,47.462893,-0.544211,,,0,zone_MICHELET,,1
MICHELET,28118,"MICHELET",,47.463467,-0.545530,,,0,zone_MICHELET,,1
MILLARDI,28787,"MILLARDIERE",,47.513771,-0.473679,,,0,zone_MILLARDIERE,,1
MILLAR-E,10309,"MILLARDIERE",,47.513916,-0.473749,,,0,zone_MILLARDIERE,,1
MILLCO-E,18612,"MILLOT SCOLAIRE",,47.456686,-0.533362,,,0,zone_MILLOT_SCOLAIRE,,0
MILLOT.,4218,"SAUMUROISE",,47.457295,-0.532525,,,0,zone_SAUMUROISE,,1
MILLOTCO,6963,"MILLOT SCOLAIRE",,47.456170,-0.533747,,,0,zone_MILLOT_SCOLAIRE,,0
MILLOT-E,2926,"SAUMUROISE",,47.456823,-0.531873,,,0,zone_SAUMUROISE,,1
MINDIE-E,452383,"CHEMIN DE LA MINDIERE",,47.440043,-0.630432,,,0,zone_CHEMIN_DE_LA_MINDIERE,,0
MINDIERE,800356,"CHEMIN DE LA MINDIERE",,47.440043,-0.630432,,,0,zone_CHEMIN_DE_LA_MINDIERE,,0
MIRABEAU,9907,"MIRABEAU",,47.460121,-0.550551,,,0,zone_MIRABEAU,,1
MIRABE-E,9418,"MIRABEAU",,47.459562,-0.548963,,,0,zone_MIRABEAU,,1
MIRBEAU,28498,"MIRBEAU",,47.488194,-0.510729,,,0,zone_MIRBEAU,,0
MIRBE-E,15613,"MIRBEAU",,47.488434,-0.510025,,,0,zone_MIRBEAU,,0
MLYAUT-E,22959,"MARECHAL LYAUTEY",,47.491830,-0.583804,,,0,zone_MARECHAL_LYAUTEY,,1
MLYAUTEY,15814,"MARECHAL LYAUTEY",,47.491719,-0.583741,,,0,zone_MARECHAL_LYAUTEY,,1
MOLIER-A,195945,"MOLIERE",,47.474539,-0.555096,,,0,zone_MOLIERE,,1
MOLIER-E,11427,"MOLIERE",,47.474394,-0.555553,,,0,zone_MOLIERE,,1
MOLINE-E,25255,"MOLINERIE",,47.521403,-0.666748,,,0,zone_MOLINERIE,,1
MOLINERI,8190,"MOLINERIE",,47.521470,-0.666839,,,0,zone_MOLINERIE,,1
MON1,7834,"MONGAZON",,47.460958,-0.528672,,,0,zone_MONGAZON,,1
MON1GA-E,1148,"MONGAZON",,47.460899,-0.528431,,,0,zone_MONGAZON,,1
MONCEA-E,810372,"MONCEAU",,47.472414,-0.389703,,,0,zone_MONCEAU,,0
MONCEAU,698763,"MONCEAU",,47.472406,-0.389606,,,0,zone_MONCEAU,,0
MONGEL-E,562960,"LA MONGELIERE",,47.586904,-0.412535,,,0,zone_LA_MONGELIERE,,0
MONGELIE,313094,"LA MONGELIERE",,47.586905,-0.412536,,,0,zone_LA_MONGELIERE,,0
MONNAIE,643212,"LA MONNAIE",,47.445250,-0.512410,,,0,zone_LA_MONNAIE,,0
MONNAI-E,228036,"LA MONNAIE",,47.445060,-0.512710,,,0,zone_LA_MONNAIE,,0
MONNIE-E,2398,"MONNIER",,47.402592,-0.525170,,,0,zone_MONNIER,,1
MONNIER,1582,"MONNIER",,47.403168,-0.525121,,,0,zone_MONNIER,,1
MONOD,15527,"MONOD",,47.478717,-0.636615,,,0,zone_MONOD,,1
MONOD-E,20101,"MONOD",,47.478998,-0.636373,,,0,zone_MONOD,,1
MONPEV-E,4984,"MONPLAISIR",,47.490708,-0.527447,,,0,zone_MONPLAISIR,,0
MONPL AR,2607,"MONPLAISIR",,47.491138,-0.528286,,,0,zone_MONPLAISIR,,1
