shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
MAN250016,0.2117251831,48.0005470115,7
MAN250016,0.2117251831,48.0005470115,8
MAN250016,0.2134342015,47.9987158666,9
MAN250016,0.2134342015,47.9987158666,10
MAN250016,0.2198911563,47.9967997395,11
MAN250016,0.2198911563,47.9967997395,12
MAN250016,0.2276376555,47.9974793364,13
MAN250016,0.2276376555,47.9974793364,14
MAN250016,0.2300141406,47.9977110481,15
MAN250016,0.2300141406,47.9977110481,16
MAN250016,0.2355245784,47.9993483926,17
MAN250016,0.2355245784,47.9993483926,18
MAN250016,0.2403162021,47.9998571139,19
MAN250016,0.2403162021,47.9998571139,20
MAN250016,0.2636584171,48.0095744496,21
MAN250016,0.2636584171,48.0095744496,22
MAN250016,0.2674763668,48.0123766883,23
MAN250016,0.2674763668,48.0123766883,24
MAN250016,0.2722617799,48.0138680908,25
MAN250016,0.2722617799,48.0138680908,26
MAN250016,0.2856418334,48.0113559733,27
MAN250016,0.2856418334,48.0113559733,28
MAN250016,0.3177138851,48.0133437296,29
MAN250016,0.3177138851,48.0133437296,30
MAN250016,0.3230778947,48.0175200716,31
MAN250016,0.3230778947,48.0175200716,32
MAN250016,0.327156066,48.0185166685,33
MAN250016,0.327156066,48.0185166685,34
MAN250016,0.331116541,48.0215530773,35
MAN250016,0.331116541,48.0215530773,36
MAN250016,0.332430417,48.0233206921,37
MAN250016,0.332430417,48.0233206921,38
MAN250016,0.3294231037,48.0241561361,39
MAN250016,0.3294231037,48.0241561361,40
MAN250016,0.3243875814,48.027113784,41
MAN250016,0.3243875814,48.027113784,42
MAN250016,0.3248978118,48.0260430943,43
MAN250016,0.3248978118,48.0260430943,44
MAN250016,0.3299502863,48.0240806137,45
MAN250016,0.3299502863,48.0240806137,46
MAN250016,0.3362809677,48.0239712347,47
MAN250016,0.3362809677,48.0239712347,48
MAN250016,0.3358647203,48.0193944321,49
MAN250018,0.3358647203,48.0193944321,0
MAN250018,0.3363703363,48.024089702,1
MAN250018,0.3363703363,48.024089702,2
MAN250018,0.3294231037,48.0241561361,3
MAN250018,0.3294231037,48.0241561361,4
MAN250018,0.3243875814,48.027113784,5
MAN250018,0.3243875814,48.027113784,6
MAN250018,0.3248978118,48.0260430943,7
MAN250018,0.3248978118,48.0260430943,8
MAN250018,0.3299502863,48.0240806137,9
MAN250018,0.3299502863,48.0240806137,10
MAN250018,0.3324029324,48.0233382126,11
MAN250018,0.3324029324,48.0233382126,12
MAN250018,0.3309748998,48.0210469049,13
MAN250018,0.3309748998,48.0210469049,14
MAN250018,0.3272612031,48.0185724457,15
MAN250018,0.3272612031,48.0185724457,16
MAN250018,0.3223340831,48.0173363633,17
MAN250018,0.3223340831,48.0173363633,18
MAN250018,0.3175774963,48.0134043465,19
MAN250018,0.3175774963,48.0134043465,20
MAN250018,0.2855118141,48.0115965781,21
MAN250018,0.2855118141,48.0115965781,22
MAN250018,0.2706325361,48.0136018662,23
MAN250018,0.2706325361,48.0136018662,24
MAN250018,0.2662762736,48.0118697039,25
MAN250018,0.2662762736,48.0118697039,26
MAN250018,0.2635399686,48.0095183777,27
MAN250018,0.2635399686,48.0095183777,28
MAN250018,0.2401265404,47.999907692,29
MAN250018,0.2401265404,47.999907692,30
MAN250018,0.2366934297,47.9992794102,31
MAN250018,0.2366934297,47.9992794102,32
MAN250018,0.230379462,47.9979605118,33
MAN250018,0.230379462,47.9979605118,34
MAN250018,0.2270700974,47.9975950508,35
MAN250018,0.2270700974,47.9975950508,36
MAN250018,0.2223642693,47.9972942367,37
MAN250018,0.2223642693,47.9972942367,38
