stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopPoint:MANBEN2,"Béner","",47.999279,0.236693,,,0,StopArea:MANPLA_BENER,1
StopPoint:MANVGT2,"Vaugauthier","",47.997959,0.230379,,,0,StopArea:MANPLA_VAUGA,1
StopPoint:MANCOT2,"Le Côteau","",47.997597,0.22707,,,0,StopArea:MANPLA_LECOT,0
StopPoint:MANBOL2,"Bollée","",47.997295,0.222364,,,0,StopArea:MANPLA_BOLLE,0
StopPoint:MANSEC2,"Sécurité Sociale","",47.997181,0.218616,,,0,StopArea:MANPLA_SECUR,1
StopPoint:MANMRI2,"Mariette","",47.999012,0.213409,,,0,StopArea:MANPLA_MARIE,0
StopPoint:MANFLO2,"Flore","",48.001839,0.208966,,,0,StopArea:MANPLA_FLORE,1
StopPoint:MANERP2,"Erpell","",48.002682,0.20546,,,0,StopArea:MANPLA_ERPEL,1
StopPoint:MANCMM2,"Comtes du Maine","",48.004097,0.200617,,,0,StopArea:MANPLA_COMTE,1
StopPoint:MANCOR1,"Cormier","",47.940399,0.232703,,,0,StopArea:MANPLA_CORMI,0
StopPoint:MANCOR2,"Cormier","",47.940334,0.232974,,,0,StopArea:MANPLA_CORMI,1
StopPoint:MANREP1,"République","",48.002663,0.197967,,,0,StopArea:MANPLA_REPUB,1
StopPoint:MANMNE1,"Maine","",48.014587,0.267256,,,0,StopArea:MANPLA_MAINE,1
StopPoint:MANPIV1,"Pivoines","",48.013622,0.265631,,,0,StopArea:MANPLA_PIVOI,1
StopPoint:MANYVR1,"Yvré-l'Évêque","",48.01878,0.270872,,,0,StopArea:MANPLA_YVREL,1
StopPoint:MANPIV2,"Pivoines","",48.013657,0.265656,,,0,StopArea:MANPLA_PIVOI,1
StopPoint:MANMNE2,"Maine","",48.014915,0.268114,,,0,StopArea:MANPLA_MAINE,1
StopPoint:MANZAM1,"Zamenhof","",48.017761,0.217883,,,0,StopArea:MANPLA_ZAMEN,1
StopPoint:MANSTM1,"St-Martin","",47.985718,0.209495,,,0,StopArea:MANPLA_STMAR,1
StopPoint:MANPTL1,"Pontlieue - Geneslay","",47.98243,0.210164,,,0,StopArea:MANPLA_PONTL,1
StopPoint:MANSAP1,"Sapins","",47.979923,0.208965,,,0,StopArea:MANPLA_SAPIN,1
StopPoint:MANJMO1,"Jean Moulin","",47.977455,0.207765,,,0,StopArea:MANPLA_JMOUL,1
StopPoint:MANCIJ1,"Cité Joly","",47.975502,0.206866,,,0,StopArea:MANPLA_CITEJ,1
StopPoint:MANRON1,"Ronceray","",47.973824,0.206063,,,0,StopArea:MANPLA_RONCE,1
StopPoint:MANMRC1,"Maroc","",47.971401,0.204928,,,0,StopArea:MANPLA_MAROC,1
StopPoint:MANCHT1,"Château d'Eau","",47.969913,0.204225,,,0,StopArea:MANPLA_CHEAU,1
StopPoint:MANWEI1,"Lazare Weiller","",47.967411,0.203053,,,0,StopArea:MANPLA_LAZAR,1
StopPoint:MANVED1,"Jules Vedrines","",47.964851,0.201871,,,0,StopArea:MANPLA_JVEDR,1
StopPoint:MANOAI3,"Oasis - Centre des Expositions","",47.96064,0.199912,,,0,StopArea:MANPLA_OASIS,0
StopPoint:MANACT1,"Actisud","",47.950165,0.195154,,,0,StopArea:MANPLA_ACTIS,1
StopPoint:MANAER1,"Aérodrome","",47.947823,0.194057,,,0,StopArea:MANPLA_AEROD,1
StopPoint:MANTRN1,"Trintignant","",47.944557,0.190681,,,0,StopArea:MANPLA_TRINT,1
StopPoint:MANPOM1,"Pommiers","",47.94511,0.187847,,,0,StopArea:MANPLA_POMMI,1
StopPoint:MANLGA1,"La Gautrie","",47.945663,0.184303,,,0,StopArea:MANPLA_LAGAU,0
StopPoint:MANVDS1,"Val de Sarthe","",47.919872,0.180911,,,0,StopArea:MANPLA_VADES,0
StopPoint:MANPOM2,"Pommiers","",47.945065,0.187942,,,0,StopArea:MANPLA_POMMI,1
StopPoint:MANTRN2,"Trintignant","",47.944241,0.191056,,,0,StopArea:MANPLA_TRINT,1
StopPoint:MANAER2,"Aérodrome","",47.947933,0.194159,,,0,StopArea:MANPLA_AEROD,1
StopPoint:MANACT2,"Actisud","",47.950798,0.195463,,,0,StopArea:MANPLA_ACTIS,1
StopPoint:MANOAI2,"Oasis - Centre des Expositions","",47.960625,0.200421,,,0,StopArea:MANPLA_OASIS,1
StopPoint:MANVED2,"Jules Vedrines","",47.965309,0.202214,,,0,StopArea:MANPLA_JVEDR,1
